Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Supervisory and Managerial Staff,Total Emoluments,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital
2006 - 2007,Kerala,-161.0,135.0,10.0,-16.0,175.0,351.0,642.0,12904.0,0.0,0.0,207.94,4995.0,2.81,70.53,281.0,9632.0,9648.0,6022.0,9032.0,7987.0,362.0,1.0,15283.0,13747.0,9297.0,5193.0,5671.0,5762.0,36.0,36.0,1688.0,5120.0,5074.0,0.0,1341.0,3733.0,46.0,256.0,8814.0,614.0,2379.0,12924.0,21303.0,977.0,116.0,0.0,386.0,3602.0,16024.0,5762.0,0.0,22046.0,171.0,590.0,3428.0,2667.0,20.0
2006 - 2007,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Madhya Pradesh,849.0,227.0,-638.0,438.0,92.0,808.0,385.0,8691.0,0.0,0.0,245.75,4267.0,23.6,138.65,408.0,1432.0,994.0,8265.0,1134.0,9454.0,993.0,16.0,14428.0,10100.0,188.0,6432.0,7459.0,3129.0,23.0,23.0,1053.0,2744.0,2285.0,0.0,2123.0,162.0,459.0,230.0,4192.0,1258.0,5737.0,13057.0,19538.0,3378.0,32.0,1.0,155.0,1796.0,14813.0,3133.0,4.0,23078.0,208.0,267.0,1704.0,1229.0,4366.0
2006 - 2007,Maharashtra,12660.0,-5524.0,5206.0,12342.0,1863.0,44699.0,8676.0,611421.0,18.0,669.83,51751.86,1063364.0,1086.24,6463.68,59971.0,164104.0,151762.0,157107.0,154157.0,554929.0,39484.0,1149.0,833287.0,845480.0,107063.0,69234.0,112407.0,36583.0,606.0,585.0,11094.0,27907.0,18745.0,0.0,16084.0,2661.0,9162.0,4993.0,582949.0,4275.0,221867.0,1054090.0,1139870.0,29439.0,3689.0,1749.0,3683.0,35520.0,1051412.0,37032.0,450.0,1208519.0,4523.0,11122.0,33656.0,18011.0,442669.0
2006 - 2007,Manipur,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Meghalaya,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Nagaland,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Orissa,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Puducherry,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Punjab,2201.0,3677.0,907.0,6785.0,1420.0,7626.0,6263.0,60913.0,3.0,129.57,5536.84,129550.0,1724.62,3546.81,10937.0,22003.0,15217.0,51803.0,17988.0,39641.0,6600.0,448.0,116941.0,165551.0,7592.0,36821.0,44178.0,36400.0,467.0,453.0,11087.0,30137.0,29744.0,0.0,29088.0,656.0,393.0,5024.0,37665.0,1811.0,56028.0,158486.0,252941.0,10412.0,755.0,34.0,1239.0,24599.0,218632.0,36743.0,342.0,270435.0,3610.0,2060.0,23178.0,17508.0,97573.0
2006 - 2007,Rajasthan,-731.0,-344.0,-286.0,-1361.0,212.0,2941.0,2499.0,23723.0,0.0,22.44,1129.07,22676.0,5.54,701.51,1858.0,2837.0,4198.0,18579.0,5577.0,8935.0,2170.0,70.0,42728.0,38147.0,1256.0,13087.0,15637.0,11770.0,101.0,101.0,3553.0,9271.0,5756.0,0.0,4693.0,1063.0,3515.0,1721.0,14808.0,608.0,19004.0,33926.0,78588.0,4036.0,380.0,51.0,778.0,8443.0,66533.0,11775.0,5.0,85112.0,1202.0,1777.0,8229.0,5250.0,10203.0
2006 - 2007,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Tamil Nadu,5352.0,1396.0,10203.0,16951.0,16909.0,100008.0,54635.0,900239.0,0.0,25.09,39976.42,871876.0,15494.59,20568.68,76065.0,106251.0,89300.0,409877.0,113381.0,159668.0,66667.0,1763.0,1163066.0,1147925.0,-10707.0,235801.0,309869.0,364349.0,3393.0,3145.0,109687.0,309714.0,291256.0,0.0,124883.0,166373.0,18458.0,29518.0,460093.0,23592.0,262828.0,992693.0,2032981.0,40152.0,7400.0,1665.0,25117.0,172056.0,1977556.0,366280.0,1931.0,2387433.0,19063.0,28723.0,155145.0,107359.0,92454.0
2006 - 2007,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Tripura,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006 - 2007,Uttar Pradesh,1397.0,1896.0,239.0,3532.0,830.0,6333.0,6627.0,82900.0,1.0,48.58,3623.4,72191.0,653.94,4145.38,8472.0,17336.0,13804.0,54707.0,16899.0,38802.0,4274.0,53.0,130072.0,117508.0,7471.0,41594.0,48374.0,40128.0,397.0,382.0,11925.0,33501.0,22394.0,0.0,18457.0,3937.0,11108.0,3639.0,46550.0,2839.0,47172.0,111350.0,223466.0,13080.0,2507.0,391.0,2988.0,25673.0,189681.0,40335.0,207.0,244388.0,3499.0,5729.0,24844.0,15616.0,28450.0
2006 - 2007,Uttarakhand,130.0,112.0,-52.0,190.0,4.0,187.0,139.0,1371.0,0.0,0.0,77.93,2983.0,0.0,260.39,338.0,778.0,588.0,1613.0,649.0,385.0,234.0,0.0,2473.0,5990.0,400.0,1182.0,1426.0,723.0,11.0,11.0,215.0,584.0,349.0,0.0,348.0,1.0,235.0,93.0,1443.0,43.0,1102.0,3474.0,8631.0,696.0,10.0,0.0,46.0,443.0,7173.0,724.0,2.0,8786.0,64.0,102.0,439.0,273.0,2103.0
2006 - 2007,West Bengal,241.0,703.0,401.0,1345.0,124.0,852.0,714.0,7979.0,0.0,111.38,444.43,9315.0,0.0,123.76,680.0,4208.0,2863.0,6746.0,3040.0,7377.0,1502.0,90.0,20604.0,31120.0,2012.0,4106.0,5895.0,3753.0,54.0,54.0,1147.0,3039.0,1629.0,0.0,1452.0,177.0,1410.0,493.0,4322.0,340.0,12624.0,16664.0,41469.0,1016.0,288.0,35.0,221.0,2749.0,38311.0,3765.0,10.0,45057.0,303.0,615.0,2626.0,1708.0,8685.0
2007 - 2008,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Andhra Pradesh,-253.0,1035.0,628.0,1410.0,139.0,1733.0,1448.0,31156.0,0.0,0.0,579.28,14214.0,273.1,162.26,1015.0,9882.0,8472.0,6922.0,8841.0,16484.0,1964.0,25.0,41063.0,15244.0,6739.0,2697.0,5188.0,10282.0,66.0,63.0,2931.0,8834.0,7641.0,0.0,2400.0,5241.0,1193.0,625.0,23969.0,666.0,9907.0,36848.0,24816.0,-3308.0,527.0,26.0,823.0,5339.0,30159.0,10325.0,43.0,37081.0,683.0,842.0,5199.0,3674.0,5692.0
2007 - 2008,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Dadra & Nagar Haveli,698.0,152.0,748.0,1598.0,17.0,669.0,207.0,19763.0,0.0,0.0,183.4,6051.0,0.0,18.12,202.0,9359.0,7761.0,616.0,13051.0,6546.0,244.0,9.0,22731.0,23412.0,7092.0,-519.0,-53.0,2126.0,13.0,12.0,596.0,1919.0,1735.0,0.0,619.0,1116.0,184.0,124.0,3154.0,183.0,2969.0,26423.0,25970.0,-1637.0,221.0,6.0,83.0,936.0,25563.0,2132.0,7.0,26179.0,69.0,106.0,919.0,744.0,6660.0
2007 - 2008,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Daman & Diu,1848.0,-4301.0,419.0,-2034.0,240.0,631.0,737.0,10043.0,0.0,0.0,332.12,10812.0,12.86,180.93,526.0,-644.0,1391.0,10802.0,1452.0,6131.0,724.0,17.0,22351.0,22160.0,760.0,9313.0,10170.0,5006.0,21.0,17.0,1530.0,4269.0,4238.0,0.0,3405.0,833.0,31.0,441.0,2855.0,350.0,12308.0,24988.0,38253.0,5005.0,133.0,3.0,296.0,3959.0,32691.0,5009.0,3.0,43493.0,369.0,927.0,3719.0,2423.0,14945.0
2007 - 2008,Delhi,1901.0,3700.0,681.0,6282.0,2485.0,6504.0,10862.0,48421.0,0.0,0.0,5541.25,105696.0,31.43,3435.98,9009.0,14358.0,8077.0,85391.0,9772.0,16679.0,11314.0,245.0,136889.0,240198.0,1572.0,60567.0,78886.0,38525.0,518.0,495.0,11453.0,27663.0,26672.0,0.0,24016.0,2656.0,991.0,6428.0,54486.0,5138.0,88467.0,134621.0,426303.0,19650.0,7006.0,407.0,4434.0,35779.0,383820.0,38837.0,311.0,469211.0,6727.0,11656.0,33293.0,14910.0,86200.0
2007 - 2008,Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Gujarat,780.0,941.0,300.0,2021.0,853.0,4214.0,3056.0,47296.0,50.0,2109.41,3318.83,67198.0,389.89,622.2,6441.0,23413.0,21391.0,34122.0,22646.0,37680.0,2054.0,285.0,67712.0,77021.0,17177.0,27297.0,29908.0,17920.0,253.0,252.0,5457.0,14864.0,11117.0,0.0,7725.0,3392.0,3747.0,1392.0,33848.0,1576.0,20416.0,69700.0,112498.0,12931.0,556.0,566.0,1664.0,12788.0,106129.0,18073.0,155.0,140251.0,1077.0,3652.0,11935.0,7206.0,22404.0
2007 - 2008,Haryana,23100.0,6745.0,7459.0,37304.0,2683.0,16328.0,11568.0,163898.0,2.0,124.78,6512.05,146241.0,162.09,13189.15,19988.0,62570.0,25267.0,144165.0,36203.0,93152.0,18846.0,300.0,366741.0,309665.0,8939.0,101177.0,127838.0,88423.0,315.0,313.0,32924.0,76855.0,43733.0,0.0,37985.0,5748.0,33122.0,6104.0,103057.0,7650.0,202842.0,291987.0,565669.0,23371.0,7814.0,2453.0,5464.0,70157.0,487181.0,88507.0,85.0,631346.0,8266.0,19610.0,67474.0,39598.0,128089.0
2007 - 2008,Himachal Pradesh,-1201.0,-125.0,7.0,-1319.0,5.0,94.0,141.0,1398.0,0.0,0.0,126.4,3031.0,2.76,39.75,169.0,-1280.0,39.0,10087.0,100.0,95.0,520.0,2.0,2896.0,5610.0,-55.0,9450.0,9993.0,1013.0,7.0,7.0,307.0,872.0,752.0,0.0,592.0,160.0,120.0,82.0,38.0,68.0,1498.0,19293.0,15278.0,8056.0,23.0,0.0,59.0,1326.0,6790.0,1015.0,2.0,16877.0,67.0,936.0,1320.0,317.0,17895.0
2007 - 2008,Jammu & Kashmir,-23.0,12.0,0.0,-11.0,15.0,23.0,20.0,171.0,0.0,0.0,7.26,353.0,0.12,10.48,18.0,15.0,25.0,630.0,25.0,0.0,5.0,3.0,591.0,595.0,2.0,602.0,607.0,323.0,5.0,5.0,98.0,303.0,303.0,0.0,298.0,5.0,0.0,12.0,13.0,8.0,419.0,765.0,1322.0,237.0,1.0,0.0,8.0,357.0,703.0,328.0,5.0,1333.0,7.0,9.0,342.0,326.0,594.0
2007 - 2008,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Karnataka,5063.0,20737.0,7883.0,33683.0,8617.0,19021.0,21976.0,176755.0,0.0,0.0,10554.61,183282.0,1303.44,4980.24,16839.0,73873.0,40189.0,288855.0,53203.0,123065.0,15729.0,849.0,332279.0,400335.0,21168.0,242309.0,269835.0,224173.0,608.0,603.0,67297.0,202197.0,201031.0,0.0,51197.0,149834.0,1166.0,9348.0,106520.0,20063.0,155524.0,208664.0,708672.0,87164.0,11799.0,935.0,12628.0,135082.0,586508.0,224272.0,99.0,875363.0,8194.0,24398.0,126464.0,93872.0,31909.0
2007 - 2008,Kerala,32.0,1050.0,-14.0,1068.0,242.0,886.0,978.0,15832.0,0.0,0.0,269.11,6041.0,7.06,309.32,585.0,2929.0,1861.0,7327.0,1931.0,8445.0,1167.0,66.0,19299.0,16917.0,974.0,5085.0,6441.0,7865.0,36.0,35.0,2217.0,6887.0,6856.0,0.0,2634.0,4222.0,31.0,339.0,7953.0,700.0,3467.0,16035.0,22995.0,-864.0,189.0,3.0,639.0,5250.0,23063.0,7866.0,2.0,30390.0,310.0,1061.0,5007.0,3636.0,203.0
2007 - 2008,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Madhya Pradesh,1235.0,4188.0,601.0,6024.0,200.0,2133.0,780.0,84605.0,13.0,484.55,783.91,13272.0,25.47,118.59,1412.0,45997.0,39972.0,6011.0,62941.0,63589.0,985.0,55.0,97874.0,14809.0,37839.0,2819.0,3879.0,4568.0,36.0,36.0,1256.0,3788.0,3189.0,0.0,2948.0,241.0,599.0,432.0,82956.0,603.0,13270.0,97920.0,22604.0,-189.0,76.0,9.0,348.0,2403.0,18938.0,4574.0,6.0,24949.0,236.0,424.0,2205.0,1545.0,13315.0
2007 - 2008,Maharashtra,3919.0,10106.0,-3074.0,10951.0,1542.0,15058.0,6906.0,93028.0,8.0,399.21,7460.62,132509.0,1160.93,4020.88,13042.0,33012.0,22061.0,83478.0,29944.0,83394.0,12987.0,389.0,167981.0,175277.0,7003.0,50127.0,68420.0,28053.0,572.0,529.0,8662.0,21147.0,14533.0,0.0,11372.0,3161.0,6616.0,3600.0,117083.0,3985.0,74953.0,150934.0,335428.0,16335.0,5306.0,1256.0,3306.0,29806.0,328008.0,28411.0,357.0,411486.0,4469.0,10557.0,28263.0,13237.0,57906.0
2007 - 2008,Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Orissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Punjab,12734.0,9901.0,5096.0,27731.0,2261.0,13455.0,7875.0,123640.0,1.0,51.64,11209.72,239725.0,3620.73,3789.76,18672.0,68456.0,40724.0,93599.0,45007.0,78869.0,14537.0,554.0,237225.0,275410.0,27268.0,60558.0,80143.0,46105.0,549.0,533.0,14004.0,38230.0,36628.0,0.0,35778.0,850.0,1602.0,6461.0,85792.0,2666.0,113583.0,238357.0,423507.0,20265.0,5048.0,652.0,1414.0,37626.0,368076.0,46558.0,455.0,461675.0,6305.0,4009.0,35363.0,25049.0,114717.0
2007 - 2008,Rajasthan,-227.0,2698.0,549.0,3020.0,117.0,2637.0,21831.0,23256.0,0.0,1.59,973.04,16345.0,23.66,614.74,1613.0,9672.0,6652.0,12177.0,8173.0,6371.0,3123.0,156.0,47082.0,38865.0,4015.0,4815.0,9540.0,40075.0,98.0,97.0,2243.0,18244.0,16270.0,0.0,13399.0,2871.0,1973.0,16566.0,16108.0,470.0,23827.0,33273.0,69396.0,-828.0,1601.0,74.0,5265.0,5173.0,61503.0,40087.0,13.0,73680.0,995.0,1205.0,5056.0,2856.0,10017.0
2007 - 2008,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Tamil Nadu,-259.0,9016.0,1164.0,9921.0,9579.0,39338.0,31654.0,365977.0,1.0,150.35,17857.86,374671.0,2273.02,8900.48,29182.0,90229.0,80309.0,281667.0,98564.0,161964.0,33048.0,3106.0,564028.0,567373.0,40971.0,202199.0,242330.0,244847.0,1585.0,1553.0,73617.0,213193.0,199568.0,,77870.0,121698.0,13625.0,16384.0,241309.0,17883.0,198051.0,440367.0,1007064.0,61188.0,7082.0,2416.0,15270.0,123127.0,914840.0,245442.0,595.0,1196507.0,12812.0,21895.0,113549.0,78842.0,74390.0
2007 - 2008,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 - 2008,Uttar Pradesh,3779.0,2195.0,1548.0,7522.0,1506.0,7058.0,8101.0,75232.0,0.0,147.43,4729.94,91817.0,1143.03,3478.34,9499.0,31132.0,23610.0,68722.0,24799.0,35101.0,7048.0,108.0,131662.0,158744.0,16553.0,51317.0,61664.0,51342.0,357.0,353.0,15283.0,43241.0,26906.0,0.0,23302.0,3604.0,16335.0,4474.0,50464.0,3505.0,56430.0,110571.0,277679.0,11741.0,3301.0,405.0,3627.0,36071.0,237981.0,51466.0,125.0,306703.0,5022.0,8458.0,34564.0,21084.0,35339.0
2007 - 2008,Uttarakhand,141.0,314.0,86.0,541.0,3.0,225.0,130.0,3344.0,0.0,0.0,170.62,6220.0,6.52,236.36,414.0,736.0,194.0,1638.0,197.0,426.0,370.0,3.0,4900.0,8174.0,-31.0,1020.0,1412.0,506.0,9.0,9.0,155.0,376.0,376.0,0.0,376.0,0.0,0.0,63.0,2360.0,78.0,1557.0,4832.0,11147.0,541.0,23.0,0.0,67.0,401.0,9516.0,506.0,0.0,11154.0,60.0,179.0,397.0,158.0,1488.0
2007 - 2008,West Bengal,1044.0,57.0,625.0,1726.0,251.0,1962.0,1141.0,18008.0,3.0,127.28,1137.23,23991.0,4187.99,210.87,5663.0,5642.0,3916.0,10915.0,4870.0,22535.0,2080.0,395.0,27521.0,30335.0,1954.0,6689.0,8955.0,4367.0,71.0,71.0,1299.0,3226.0,2619.0,0.0,2294.0,325.0,607.0,767.0,10015.0,519.0,9512.0,26321.0,52993.0,2828.0,183.0,74.0,374.0,3342.0,47157.0,4377.0,11.0,58072.0,600.0,925.0,3092.0,1567.0,8313.0
2008 - 2009,Andaman & Nicobar Islands,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 - 2009,Andhra Pradesh,496.0,2728.0,172.0,3396.0,430.0,2715.0,2694.0,36581.0,0.0,0.0,589.57,13649.0,3.45,358.26,951.0,14580.0,11183.0,18800.0,11658.0,19236.0,2699.0,108.0,50428.0,19411.0,8469.0,12414.0,16085.0,14111.0,57.0,57.0,4114.0,11417.0,10702.0,,2233.0,8469.0,715.0,1473.0,21129.0,1149.0,13847.0,41768.0,38487.0,2619.0,973.0,7.0,1221.0,8646.0,34983.0,14123.0,12.0,53783.0,1072.0,2463.0,8215.0,4680.0,5187.0
2008 - 2009,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 - 2009,Assam,-17.0,37.0,0.0,20.0,1.0,13.0,10.0,67.0,0.0,0.0,4.51,88.0,0.0,0.92,5.0,21.0,0.0,162.0,0.0,0.0,12.0,0.0,210.0,182.0,-13.0,135.0,149.0,82.0,8.0,7.0,24.0,72.0,55.0,,26.0,29.0,16.0,7.0,54.0,1.0,143.0,295.0,382.0,114.0,2.0,0.0,3.0,19.0,225.0,90.0,8.0,387.0,3.0,3.0,19.0,13.0,228.0
2008 - 2009,Bihar,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 - 2009,Chandigarh,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 - 2009,Chhattisgarh,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 - 2009,Dadra & Nagar Haveli,589.0,267.0,1452.0,2308.0,20.0,874.0,478.0,17984.0,0.0,0.0,184.03,4686.0,34.12,90.68,309.0,3897.0,1588.0,3291.0,3183.0,7530.0,234.0,0.0,23480.0,37274.0,714.0,2050.0,2418.0,2687.0,8.0,8.0,830.0,2209.0,1986.0,,1119.0,867.0,223.0,311.0,2965.0,289.0,5497.0,28892.0,39452.0,41.0,133.0,42.0,167.0,1720.0,39206.0,2689.0,2.0,42497.0,455.0,350.0,1701.0,896.0,10908.0
2008 - 2009,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 - 2009,Daman & Diu,1918.0,-1332.0,-481.0,105.0,259.0,807.0,872.0,10959.0,0.0,0.0,306.98,8386.0,33.06,128.99,469.0,2263.0,2158.0,14932.0,921.0,4540.0,1297.0,18.0,34132.0,20894.0,1350.0,12717.0,14124.0,5817.0,17.0,17.0,1740.0,4945.0,4925.0,,4098.0,827.0,20.0,596.0,6245.0,465.0,23173.0,43364.0,39720.0,7938.0,111.0,6.0,276.0,4314.0,28147.0,5818.0,2.0,43079.0,537.0,941.0,4056.0,2578.0,32405.0
2008 - 2009,Delhi,3884.0,5383.0,-518.0,8749.0,2220.0,6719.0,10541.0,54947.0,0.0,0.0,5328.93,103750.0,0.0,3792.25,9122.0,15251.0,6501.0,94180.0,8583.0,16235.0,9978.0,443.0,141385.0,220609.0,-217.0,69930.0,87461.0,40208.0,481.0,441.0,12020.0,29667.0,25591.0,,22022.0,3569.0,4077.0,5862.0,59448.0,5752.0,86438.0,108303.0,418028.0,25095.0,7553.0,1880.0,4679.0,39082.0,360703.0,40441.0,232.0,454883.0,7442.0,12848.0,36862.0,16572.0,53356.0
2008 - 2009,Goa,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 - 2009,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 - 2009,Gujarat,3337.0,1055.0,-209.0,4183.0,757.0,2859.0,2041.0,31188.0,10.0,418.06,1821.0,32531.0,353.09,295.76,2888.0,8250.0,4066.0,24813.0,5574.0,16320.0,2483.0,87.0,53270.0,54168.0,1207.0,18275.0,21955.0,14339.0,184.0,173.0,4200.0,12298.0,9195.0,,6303.0,2892.0,3104.0,933.0,21788.0,1133.0,22082.0,49511.0,89953.0,5686.0,1197.0,322.0,1108.0,11456.0,92483.0,14434.0,96.0,117296.0,1398.0,3239.0,10699.0,6062.0,18323.0
2008 - 2009,Haryana,27503.0,10136.0,5799.0,43438.0,2440.0,22964.0,13143.0,228435.0,1.0,193.78,7455.72,162279.0,303.71,11697.53,19651.0,83622.0,40185.0,185130.0,59069.0,115393.0,26238.0,559.0,548744.0,353829.0,17221.0,109104.0,162166.0,74102.0,301.0,299.0,21898.0,60959.0,33590.0,,30290.0,3300.0,27368.0,6830.0,209584.0,9707.0,320308.0,452469.0,623891.0,15232.0,26823.0,1750.0,6313.0,84164.0,615185.0,74158.0,56.0,800315.0,6927.0,31474.0,81724.0,43323.0,224034.0
2008 - 2009,Himachal Pradesh,310.0,226.0,211.0,747.0,6.0,89.0,39.0,1436.0,0.0,0.0,49.83,1229.0,0.0,66.04,116.0,739.0,-9.0,4761.0,66.0,119.0,180.0,0.0,3568.0,4272.0,-97.0,4490.0,4674.0,773.0,5.0,5.0,235.0,734.0,734.0,,572.0,162.0,0.0,29.0,3160.0,37.0,2131.0,22403.0,9431.0,3898.0,3.0,0.0,10.0,555.0,5165.0,773.0,0.0,9926.0,29.0,73.0,550.0,448.0,20967.0
2008 - 2009,Jammu & Kashmir,75.0,4.0,14.0,93.0,17.0,23.0,18.0,175.0,0.0,0.0,8.76,362.0,0.0,12.48,21.0,103.0,10.0,763.0,10.0,0.0,5.0,7.0,695.0,723.0,-14.0,734.0,740.0,361.0,6.0,6.0,110.0,343.0,343.0,,343.0,0.0,0.0,12.0,0.0,11.0,520.0,940.0,1583.0,284.0,1.0,0.0,6.0,439.0,826.0,366.0,5.0,1589.0,9.0,10.0,423.0,404.0,765.0
2008 - 2009,Jharkhand,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
